Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Region,Quantity,Sales,Discount,Profit
ORD0001,2025-05-21,C164,Neha Yadav,Monitor,Technology,South,1,15300.0,0.15,2700.89
ORD0002,2025-08-05,C189,Vikash Joshi,Monitor,Technology,North,2,32400.0,0.1,5600.6
ORD0003,2025-04-12,C056,Kavya Singh,Printer,Office Supplies,Central,1,10800.0,0.1,2273.91
ORD0004,2025-05-23,C108,Anjali Gupta,Printer,Office Supplies,North,8,86400.0,0.1,18490.18
ORD0005,2025-05-23,C195,Manish Joshi,Keyboard,Technology,East,7,11970.0,0.05,3705.98
ORD0006,2025-07-03,C027,Arjun Verma,Tablet,Technology,Central,7,196000,0,33251.37
ORD0007,2025-03-05,C068,Anjali Patel,Smartphone,Technology,West,8,172800.0,0.1,38027.94
ORD0008,2025-11-18,C021,Rahul Verma,External Hard Drive,Technology,East,5,26000.0,0.2,4998.26
ORD0009,2025-12-05,C148,Anjali Shah,Mouse,Technology,East,2,1800,0,573.88
ORD0010,2025-05-23,C021,Rahul Verma,Printer,Office Supplies,East,2,22080.0,0.08,4462.73
ORD0011,2025-12-10,C042,Priya Singh,Office Chair,Furniture,North,6,35280.0,0.02,7876.82
ORD0012,2025-08-25,C156,Kavya Shah,Keyboard,Technology,Central,4,7056.0,0.02,2293.71
ORD0013,2025-01-17,C057,Nikhil Singh,Desk,Furniture,West,1,7840.0,0.02,1842.85
ORD0014,2025-06-11,C069,Vikash Patel,Tablet,Technology,West,4,100800.0,0.1,14922.36
ORD0015,2025-03-13,C102,Priya Gupta,Backpack,Accessories,Central,3,6270.0,0.05,1883.62
ORD0016,2025-07-24,C138,Ayesha Mehta,Notebook,Office Supplies,South,7,3150.0,0.1,895.57
ORD0017,2025-01-25,C131,Karan Mehta,Webcam,Technology,South,2,5600.0,0.2,1454.0
ORD0018,2025-02-02,C161,Rahul Yadav,Keyboard,Technology,Central,7,11340.0,0.1,3597.56
ORD0019,2025-01-06,C120,Meena Gupta,USB Hub,Technology,North,5,5400.0,0.1,1581.73
ORD0020,2025-11-25,C175,Manish Yadav,External Hard Drive,Technology,East,5,26000.0,0.2,4708.78
ORD0021,2025-05-15,C112,Simran Gupta,Keyboard,Technology,South,8,14400,0,5162.41
ORD0022,2025-11-24,C130,Pooja Mehta,Monitor,Technology,South,5,72000.0,0.2,13146.46
ORD0023,2025-09-29,C040,Meena Verma,Office Chair,Furniture,Central,3,16200.0,0.1,3956.23
ORD0024,2025-07-05,C083,Amit Kumar,Webcam,Technology,East,1,3500,0,954.54
ORD0025,2025-02-10,C062,Priya Patel,Smartphone,Technology,West,4,86400.0,0.1,16174.09
ORD0026,2025-12-04,C209,Vikash Malhotra,Tablet,Technology,Central,3,82320.0,0.02,13109.11
ORD0027,2025-10-04,C043,Amit Singh,Notebook,Office Supplies,South,7,3430.0,0.02,1066.63
ORD0028,2025-11-29,C183,Amit Joshi,Pen Set,Office Supplies,Central,7,1785.0,0.15,554.57
ORD0029,2025-02-02,C116,Kavya Gupta,Monitor,Technology,Central,4,70560.0,0.02,13287.31
ORD0030,2025-02-06,C142,Priya Shah,Printer,Office Supplies,North,4,48000,0,10332.55
ORD0031,2025-06-19,C059,Suresh Singh,Tablet,Technology,South,1,22400.0,0.2,3066.02
ORD0032,2025-03-09,C072,Simran Patel,Webcam,Technology,Central,4,12600.0,0.1,3278.65
ORD0033,2025-08-31,C148,Anjali Shah,Webcam,Technology,South,4,11200.0,0.2,2877.12
ORD0034,2025-08-05,C025,Rohit Verma,Monitor,Technology,North,7,119700.0,0.05,22620.27
ORD0035,2025-06-23,C173,Aditya Yadav,Monitor,Technology,North,1,16560.0,0.08,3318.33
ORD0036,2025-08-18,C064,Neha Patel,Mouse,Technology,South,4,3240.0,0.1,980.92
ORD0037,2025-02-08,C072,Simran Patel,Backpack,Accessories,Central,4,7040.0,0.2,2074.52
ORD0038,2025-05-02,C026,Sneha Verma,Smartphone,Technology,West,1,24000,0,4733.05
ORD0039,2025-03-26,C124,Neha Mehta,Mouse,Technology,West,7,6300,0,2059.33
ORD0040,2025-12-23,C068,Anjali Patel,Backpack,Accessories,Central,5,10120.0,0.08,3406.1
ORD0041,2025-06-01,C170,Pooja Yadav,Webcam,Technology,North,3,10290.0,0.02,2510.55
ORD0042,2025-06-10,C149,Vikash Shah,External Hard Drive,Technology,Central,1,5525.0,0.15,964.14
ORD0043,2025-09-18,C123,Amit Mehta,USB Hub,Technology,South,3,3600,0,979.46
ORD0044,2025-05-01,C018,Ayesha Sharma,Calculator,Office Supplies,Central,2,1360.0,0.15,398.55
ORD0045,2025-02-11,C064,Neha Patel,Desk Organizer,Office Supplies,Central,1,630.0,0.1,189.66
ORD0046,2025-04-15,C145,Rohit Shah,USB Hub,Technology,East,6,6840.0,0.05,2025.78
ORD0047,2025-12-10,C062,Priya Patel,Notebook,Office Supplies,West,7,3430.0,0.02,1048.19
ORD0048,2025-11-15,C081,Rahul Kumar,Tablet,Technology,North,1,25760.0,0.08,4408.89
ORD0049,2025-05-16,C019,Suresh Sharma,External Hard Drive,Technology,East,4,23400.0,0.1,4244.2
ORD0050,2025-05-26,C226,Sneha Kapoor,Tablet,Technology,Central,4,106400.0,0.05,15889.31
ORD0051,2025-10-11,C181,Rahul Joshi,Pen Set,Office Supplies,North,1,255.0,0.15,78.04
ORD0052,2025-02-24,C241,Rahul Mishra,Headphones,Technology,South,5,15000,0,5193.93
ORD0053,2025-06-25,C070,Pooja Patel,Pen Set,Office Supplies,East,4,1020.0,0.15,306.03
